date,nav_usd,ret_twr,flows_usd,realized_pnl_cum,fees_cum,funding_cum,upnl_eod,open_positions
2026-05-19,749.3200,,749.32,0.0000,0.0000,0.0000,0.0000,
2026-05-20,749.3200,0.000000,0.00,0.0000,0.0000,0.0000,0.0000,
2026-05-21,749.3200,0.000000,0.00,0.0000,0.0000,0.0000,0.0000,
2026-05-22,749.3200,0.000000,0.00,0.0000,0.0000,0.0000,0.0000,
2026-05-23,749.3200,0.000000,0.00,0.0000,0.0000,0.0000,0.0000,
2026-05-24,749.3200,0.000000,0.00,0.0000,0.0000,0.0000,0.0000,
2026-05-25,749.3200,0.000000,0.00,0.0000,0.0000,0.0000,0.0000,
2026-05-26,749.3200,0.000000,0.00,0.0000,0.0000,0.0000,0.0000,
2026-05-27,749.3200,0.000000,0.00,0.0000,0.0000,0.0000,0.0000,
2026-05-28,749.3200,0.000000,0.00,0.0000,0.0000,0.0000,0.0000,
2026-05-29,749.3200,0.000000,0.00,0.0000,0.0000,0.0000,0.0000,
2026-05-30,749.3200,0.000000,0.00,0.0000,0.0000,0.0000,0.0000,
2026-05-31,749.5307,0.000281,0.00,0.0000,0.0067,-0.0085,0.2259,CHIP:-381@0.039353
2026-06-01,749.3594,-0.000229,0.00,0.0000,0.0067,-0.0046,0.0507,CHIP:-381@0.039353
2026-06-02,749.0270,-0.000444,0.00,0.0000,0.0067,-0.0173,-0.2690,CHIP:-381@0.039353
2026-06-03,749.7808,0.001006,0.00,0.0000,0.0067,-0.0148,0.4823,CHIP:-381@0.039353
2026-06-04,750.8078,0.001370,0.00,0.0000,0.0067,-0.0107,1.5053,CHIP:-381@0.039353
2026-06-05,752.2005,0.001855,0.00,0.0000,0.0067,-0.0152,2.9025,CHIP:-381@0.039353
2026-06-06,752.6758,0.000632,0.00,0.0000,0.0067,-0.0287,3.3913,CHIP:-381@0.039353
2026-06-07,752.5475,-0.000170,0.00,3.2686,0.0120,-0.0291,0.0000,
2026-06-08,752.5475,0.000000,0.00,3.2686,0.0120,-0.0291,0.0000,
2026-06-09,753.4065,0.001141,0.00,3.2686,0.0239,-0.0259,0.8676,ENA:-317@0.082992
2026-06-10,756.0271,0.003478,0.00,3.2686,0.0239,-0.0231,3.4854,ENA:-317@0.082992
2026-06-11,753.5720,-0.003247,0.00,3.2686,0.0239,-0.0185,1.0258,ENA:-317@0.082992
2026-06-12,754.0329,0.000612,0.00,3.2686,0.0239,-0.0255,1.4937,ENA:-317@0.082992
2026-06-13,747.6169,-0.008509,0.00,-1.3486,0.0488,-0.0175,-0.2882,ENA:-317@0.082992
2026-06-14,747.5525,-0.000086,0.00,-1.3486,0.0488,-0.0159,-0.3541,ENA:-317@0.082992
2026-06-15,747.1004,-0.000605,0.00,-1.3486,0.0488,-0.0099,-0.8122,ENA:-317@0.082992
2026-06-16,746.5946,-0.000677,0.00,-2.6588,0.0613,-0.0053,0.0000,
2026-06-17,746.5946,0.000000,0.00,-2.6588,0.0613,-0.0053,0.0000,
2026-06-18,746.5946,0.000000,0.00,-2.6588,0.0613,-0.0053,0.0000,
2026-06-19,746.5946,0.000000,0.00,-2.6588,0.0613,-0.0053,0.0000,
2026-06-20,746.5946,0.000000,0.00,-2.6588,0.0613,-0.0053,0.0000,
2026-06-21,747.0869,0.000659,0.00,-2.6588,0.0730,-0.0426,0.5413,TRUMP:-13.6@1.9206
2026-06-22,747.2125,0.000168,0.00,-2.6588,0.0730,-0.0530,0.6773,TRUMP:-13.6@1.9206
2026-06-23,748.6617,0.001939,0.00,-2.6588,0.0730,-0.0698,2.1434,TRUMP:-13.6@1.9206
2026-06-24,749.5872,0.001236,0.00,-2.6588,0.0730,-0.1059,3.1049,TRUMP:-13.6@1.9206
2026-06-25,750.2485,0.000882,0.00,-2.6588,0.0730,-0.1354,3.7958,TRUMP:-13.6@1.9206
2026-06-26,749.2730,-0.001300,0.00,-2.6588,0.0730,-0.1970,2.8818,TRUMP:-13.6@1.9206
2026-06-27,750.0423,0.001027,0.00,-2.6588,0.0730,-0.2301,3.6842,TRUMP:-13.6@1.9206
2026-06-28,750.0926,0.000067,0.00,1.1152,0.0831,-0.2595,0.0000,
2026-06-29,750.0926,0.000000,0.00,1.1152,0.0831,-0.2595,0.0000,
2026-06-30,750.0926,0.000000,0.00,1.1152,0.0831,-0.2595,0.0000,
2026-07-01,751.1155,0.001364,0.00,1.1152,0.0949,-0.2546,1.0298,VVV:-1.9@13.841
2026-07-02,750.8626,-0.000337,0.00,1.1152,0.0949,-0.2453,0.7676,VVV:-1.9@13.841
2026-07-03,751.5336,0.000894,0.00,1.1152,0.0949,-0.2260,1.4193,VVV:-1.9@13.841
2026-07-04,753.3338,0.002395,0.00,1.1152,0.0949,-0.2194,3.2129,VVV:-1.9@13.841
2026-07-05,753.6781,0.000457,0.00,1.1152,0.0949,-0.2266,3.5644,VVV:-1.9@13.841
2026-07-06,754.5271,0.001126,0.00,1.1152,0.0949,-0.2288,4.4156,VVV:-1.9@13.841
2026-07-07,756.4741,0.002580,0.00,1.1152,0.0949,-0.2331,6.3669,VVV:-1.9@13.841
2026-07-08,756.1612,-0.000414,0.00,7.1743,0.1040,-0.2291,0.0000,
2026-07-09,756.1612,0.000000,0.00,7.1743,0.1040,-0.2291,0.0000,
2026-07-10,756.1612,0.000000,0.00,7.1743,0.1040,-0.2291,0.0000,
2026-07-11,756.1612,0.000000,0.00,7.1743,0.1040,-0.2291,0.0000,
2026-07-12,756.1612,0.000000,0.00,7.1743,0.1040,-0.2291,0.0000,
2026-07-13,756.1612,0.000000,0.00,7.1743,0.1040,-0.2291,0.0000,
2026-07-14,756.1612,0.000000,0.00,7.1743,0.1040,-0.2291,0.0000,
2026-07-15,756.1612,0.000000,0.00,7.1743,0.1040,-0.2291,0.0000,
2026-07-16,756.5364,0.000496,0.00,7.1743,0.1159,-0.2262,0.3842,PUMP:-15369@0.001722
2026-07-17,757.4210,0.001169,0.00,7.1743,0.1159,-0.2176,1.2603,PUMP:-15369@0.001722
2026-07-18,757.0290,-0.000518,0.00,7.1743,0.1159,-0.2100,0.8607,PUMP:-15369@0.001722
2026-07-19,751.8882,-0.006791,0.00,7.1743,0.1159,-0.2022,-4.2880,PUMP:-15369@0.001722
2026-07-20,751.1987,-0.000917,0.00,2.2101,0.1301,-0.2014,0.0000,
